,index,Year,TmCode,Role,Tms,Overall_WL%_Rank,Overall_T/G_Rank,Overall_PtsDiff_Rank,Overall_YdsDiff_Rank,Offense_Yds_Rank,Offense_Pts_Rank,Offense_GvA_Rank,Rushing Off_Att_Rank,Rushing Off_Yds_Rank,Rushing Off_TD_Rank,Rushing Off_Y/A_Rank,Rushing Off_FL_Rank,Passing Off_Att_Rank,Passing Off_Yds_Rank,Passing Off_TD_Rank,Passing Off_Int_Rank,Passing Off_NY/A_Rank,Defense_Yds_Rank,Defense_Pts_Rank,Defense_TkA_Rank,Rushing Def_Att_Rank,Rushing Def_Yds_Rank,Rushing Def_TD_Rank,Rushing Def_Y/A_Rank,Rushing Def_FR_Rank,Passing Def_Att_Rank,Passing Def_Yds_Rank,Passing Def_TD_Rank,Passing Def_Int_Rank,Passing Def_netY/A_Rank,Name,Age,Tm,Lg,G,W,L,T,W-L%_1,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L%_2,Num,Won,Rank,Notes
656,5,1987,CHI,HC,28,3,27,6,4,12,9,27,13,13,12,12,23,14,12,11,25,17,2,4,28,3,1,1,1,24,24,7,17,25,1,Mike Ditka+,48,Chicago Bears,NFL,15,11,4,0,.733,3.8,1.5,2.3,1,0,1,.000,1,,,
657,6,1988,CHI,HC,28,1,12,4,3,11,18,15,4,3,3,9,25,22,20,23,5,8,2,1,12,1,1,1,2,26,25,9,10,3,2,Mike Ditka+,49,Chicago Bears,NFL,16,12,4,0,.750,6.6,0.0,6.6,2,1,1,.500,1,,,
658,7,1989,CHI,HC,28,21,19,16,19,10,10,25,7,2,2,4,19,19,19,12,23,14,25,20,8,10,15,27,23,21,23,24,14,4,20,Mike Ditka+,50,Chicago Bears,NFL,16,6,10,0,.375,0.0,1.8,-1.8,,,,,4,,,
659,8,1990,CHI,HC,28,6,3,10,9,13,10,6,1,2,1,5,10,23,28,24,6,24,6,9,1,6,7,8,14,15,16,10,9,1,6,Mike Ditka+,51,Chicago Bears,NFL,16,11,5,0,.688,3.4,0.1,3.3,2,1,1,.500,1,,,
660,9,1991,CHI,HC,28,5,19,11,7,11,14,17,6,9,4,15,18,16,13,14,15,14,4,9,17,5,10,10,18,18,16,8,18,14,5,Mike Ditka+,52,Chicago Bears,NFL,16,11,5,0,.688,0.8,-1.2,2.0,1,0,1,.000,2,,,
661,10,1992,CHI,HC,28,21,19,18,13,8,16,15,16,10,8,6,5,15,14,14,24,14,17,22,22,22,21,18,19,7,4,15,16,23,20,Mike Ditka+,53,Chicago Bears,NFL,16,5,11,0,.313,-3.5,-0.2,-3.3,,,,,4,,,
662,11,1997,NOR,HC,30,22,30,25,27,30,30,30,25,27,22,26,30,27,27,29,30,24,4,16,9,24,14,10,4,7,14,6,15,13,4,Mike Ditka+,58,New Orleans Saints,NFL,16,6,10,0,.375,-7.4,-6.8,-0.6,,,,,4,,,
663,12,1998,NOR,HC,30,20,16,19,30,28,21,21,30,30,29,27,19,11,18,18,24,24,26,21,10,15,16,19,8,15,19,30,21,4,28,Mike Ditka+,59,New Orleans Saints,NFL,16,6,10,0,.375,0.1,-1.5,1.6,,,,,3,,,
664,13,1999,NOR,HC,31,30,19,29,24,19,29,28,11,18,20,21,5,11,19,26,30,21,20,28,9,16,20,23,23,7,5,21,30,12,29,Mike Ditka+,60,New Orleans Saints,NFL,16,3,13,0,.188,-12.1,-5.3,-6.9,,,,,5,4,1,
665,0,1976,PHI,HC,28,21,22,24,24,23,27,9,16,16,26,12,8,14,26,20,15,26,21,19,28,17,15,19,10,17,27,26,18,26,22,Dick Vermeil,40,Philadelphia Eagles,NFL,14,4,10,0,.286,-8.7,-7.3,-1.4,,,,,4,,,
666,1,1977,PHI,HC,28,19,15,12,19,23,19,18,20,24,18,23,20,14,20,6,13,22,10,7,14,13,15,9,12,16,17,8,12,11,6,Dick Vermeil,41,Philadelphia Eagles,NFL,14,5,9,0,.357,-0.6,-2.5,1.9,,,,,4,,,
667,2,1978,PHI,HC,28,8,2,9,11,18,18,12,10,7,12,8,24,15,21,14,1,22,11,5,2,2,5,2,9,7,21,22,14,4,19,Dick Vermeil,42,Philadelphia Eagles,NFL,16,9,7,0,.563,2.3,-1.1,3.4,1,0,1,.000,2,,,
668,3,1979,PHI,HC,28,3,9,6,9,15,12,2,10,9,11,6,11,22,19,8,1,15,9,9,22,8,18,12,23,26,12,4,11,13,4,Dick Vermeil,43,Philadelphia Eagles,NFL,16,11,5,0,.688,2.7,0.3,2.4,2,1,1,.500,2,,,
669,4,1980,PHI,HC,28,1,8,1,3,8,6,3,11,14,5,23,17,16,7,6,1,3,2,1,15,3,2,1,6,25,26,5,3,9,2,Dick Vermeil,44,Philadelphia Eagles,NFL,16,12,4,0,.750,9.7,2.9,6.8,3,2,1,.667,1,,,NFC Champions 
670,5,1981,PHI,HC,28,6,7,1,1,12,5,11,7,4,10,2,9,21,20,7,13,13,1,1,5,8,4,7,6,5,16,1,2,6,1,Dick Vermeil,45,Philadelphia Eagles,NFL,16,10,6,0,.625,8.7,2.0,6.7,1,0,1,.000,2,,,
671,6,1982,PHI,HC,28,21,7,13,21,18,11,14,28,25,8,11,14,11,11,9,15,15,20,19,3,21,15,2,6,5,16,20,21,7,20,Dick Vermeil,46,Philadelphia Eagles,NFL,9,3,6,0,.333,0.7,2.7,-2.0,,,,,5,,,
672,7,1997,STL,HC,30,25,6,23,19,21,23,19,17,24,9,25,22,17,17,26,14,16,17,19,3,12,9,6,12,10,21,17,26,2,17,Dick Vermeil,61,St. Louis Rams,NFL,16,5,11,0,.313,-4.0,-1.8,-2.2,,,,,5,,,
673,8,1998,STL,HC,30,25,27,25,22,27,24,21,28,29,8,28,21,5,22,28,18,26,10,24,22,18,24,11,23,23,7,3,28,17,6,Dick Vermeil,62,St. Louis Rams,NFL,16,4,12,0,.250,-2.3,-2.3,0.0,,,,,5,,,
674,9,1999,STL,HC,31,2,9,1,1,1,1,13,15,5,10,2,24,19,1,1,7,1,6,4,6,1,1,1,6,27,29,20,7,2,6,Dick Vermeil,63,St. Louis Rams,NFL,16,13,3,0,.813,11.9,8.7,3.2,3,3,0,1.000,1,3,0,Super Bowl Champions 
675,10,2001,KAN,HC,31,22,22,17,6,5,16,19,13,6,4,5,5,15,5,22,29,6,23,23,22,25,27,22,25,9,7,14,13,25,22,Dick Vermeil,65,Kansas City Chiefs,NFL,16,6,10,0,.375,-1.2,-0.2,-1.0,,,,,4,4,0,
676,11,2002,KAN,HC,32,17,3,7,19,4,1,1,10,3,1,2,1,27,11,3,8,1,32,28,8,14,24,29,30,12,32,31,27,12,27,Dick Vermeil,66,Kansas City Chiefs,NFL,16,8,8,0,.500,6.1,8.4,-2.3,,,,,4,4,2,
677,12,2003,KAN,HC,32,2,1,1,16,2,1,1,16,15,1,11,2,7,2,10,5,2,29,19,4,18,30,26,32,13,29,20,13,3,12,Dick Vermeil,67,Kansas City Chiefs,NFL,16,13,3,0,.813,8.3,9.2,-0.9,1,0,1,.000,1,8,1,
678,13,2004,KAN,HC,32,18,22,10,5,1,2,14,7,5,1,3,8,6,4,8,17,4,31,29,27,4,12,26,29,28,22,32,30,24,32,Dick Vermeil,68,Kansas City Chiefs,NFL,16,7,9,0,.438,5.3,10.0,-4.7,,,,,3,6,2,
679,14,2005,KAN,HC,32,11,8,9,1,1,6,6,6,4,2,5,17,17,6,23,3,3,25,16,7,2,7,11,20,5,27,30,28,14,26,Dick Vermeil,69,Kansas City Chiefs,NFL,16,10,6,0,.625,7.0,5.1,1.9,,,,,2,8,2,
680,0,1966,RAM,HC,15,7,3,5,6,7,10,4,7,7,8,6,3,3,8,13,4,10,4,2,2,4,3,4,2,2,7,9,2,3,8,George Allen+,48,Los Angeles Rams,NFL,14,8,6,0,.571,6.0,-0.5,6.5,,,,,,,3,
681,1,1967,RAM,HC,16,1,1,1,2,6,1,2,1,4,3,9,6,10,7,4,1,4,3,1,2,2,2,2,1,9,12,6,4,1,3,George Allen+,49,Los Angeles Rams,NFL,14,11,1,2,.917,13.6,6.6,7.0,1,0,1,.000,,,1,
682,2,1968,RAM,HC,16,3,2,4,3,8,5,1,1,5,6,12,3,7,12,9,4,12,1,3,2,3,2,4,2,3,6,2,2,5,2,George Allen+,50,Los Angeles Rams,NFL,14,10,3,1,.769,8.7,2.0,6.7,,,,,,,2,
683,3,1969,RAM,HC,16,3,1,3,8,12,4,1,14,16,14,15,3,8,10,1,1,10,6,5,6,5,5,5,5,7,12,10,6,2,5,George Allen+,51,Los Angeles Rams,NFL,14,11,3,0,.786,7.1,3.2,3.9,1,0,1,.000,,,1,
684,4,1970,RAM,HC,26,7,8,3,3,6,4,8,18,11,11,10,22,2,6,11,6,14,3,2,11,4,4,2,6,5,14,11,8,14,6,George Allen+,52,Los Angeles Rams,NFL,14,9,4,1,.692,9.6,4.4,5.3,,,,,,,2,
685,5,1971,WAS,HC,26,6,9,6,6,13,12,11,12,14,21,20,22,19,10,17,8,5,4,4,6,5,4,3,4,20,24,12,5,1,4,George Allen+,53,Washington Redskins,NFL,14,9,4,1,.692,5.1,-0.6,5.8,1,0,1,.000,,,2,
686,6,1972,WAS,HC,26,2,7,3,5,11,7,3,6,10,6,14,8,23,12,3,8,2,4,3,14,4,7,10,13,10,21,6,3,16,4,George Allen+,54,Washington Redskins,NFL,14,11,3,0,.786,6.3,2.7,3.7,3,2,1,.667,,,1,NFC Champions 
687,7,1973,WAS,HC,26,4,4,6,12,18,6,12,18,25,20,26,20,9,6,5,8,7,9,6,2,8,4,6,1,6,25,18,9,2,8,George Allen+,55,Washington Redskins,NFL,14,10,4,0,.714,7.4,1.2,6.2,1,0,1,.000,,,2,
688,8,1974,WAS,HC,26,4,1,2,3,12,4,2,14,23,18,26,2,3,1,2,2,5,2,4,4,3,3,2,6,8,19,5,8,3,2,George Allen+,56,Washington Redskins,NFL,14,10,4,0,.714,10.2,5.7,4.5,1,0,1,.000,,,2,
689,9,1975,WAS,HC,26,11,18,12,12,8,10,22,21,20,23,14,13,3,2,1,23,7,15,11,13,15,16,4,10,6,14,16,16,17,17,George Allen+,57,Washington Redskins,NFL,14,8,6,0,.571,2.8,2.6,0.3,,,,,,,3,
690,10,1976,WAS,HC,28,7,11,11,14,17,11,24,9,14,21,20,24,13,16,5,19,18,13,9,3,22,19,8,14,6,10,9,4,2,11,George Allen+,58,Washington Redskins,NFL,14,10,4,0,.714,3.0,1.2,1.8,1,0,1,.000,,,2,
691,11,1977,WAS,HC,28,7,11,13,20,20,21,8,17,23,26,24,8,7,18,12,6,24,19,4,15,18,18,5,16,20,25,17,9,11,9,George Allen+,59,Washington Redskins,NFL,14,9,5,0,.643,-0.5,-3.1,2.6,,,,,,,2,
692,0,1989,SFO,HC,28,1,2,1,1,1,1,2,13,10,12,13,10,20,2,1,1,1,4,3,11,1,3,3,8,9,25,11,3,9,5,George Seifert,49,San Francisco 49ers,NFL,16,14,2,0,.875,10.7,5.8,4.9,3,3,0,1.000,1,,,Super Bowl Champions 
693,1,1990,SFO,HC,28,1,9,3,1,2,8,10,16,18,17,25,10,2,2,3,11,5,3,2,13,2,2,2,3,15,24,12,6,14,4,George Seifert,50,San Francisco 49ers,NFL,16,14,2,0,.875,5.8,1.2,4.6,2,1,1,.500,1,,,
694,2,1991,SFO,HC,28,9,19,2,2,3,3,14,15,11,2,7,24,3,2,4,4,2,6,4,20,6,5,5,9,11,12,11,7,22,9,George Seifert,51,San Francisco 49ers,NFL,16,10,6,0,.625,10.9,6.6,4.3,,,,,3,,,
695,3,1992,SFO,HC,28,1,7,1,3,1,1,2,8,3,1,1,11,14,3,2,1,1,15,3,23,2,4,2,16,18,28,26,16,17,13,George Seifert,52,San Francisco 49ers,NFL,16,14,2,0,.875,11.8,7.3,4.5,2,1,1,.500,1,,,
696,4,1993,SFO,HC,28,6,14,1,1,1,1,11,10,3,1,1,12,13,2,1,14,1,15,16,14,5,16,1,28,20,24,16,25,9,3,George Seifert,53,San Francisco 49ers,NFL,16,10,6,0,.625,9.7,9.9,-0.3,2,1,1,.500,1,,,
697,5,1994,SFO,HC,28,1,3,1,1,2,1,5,5,6,2,7,15,18,4,1,3,1,8,6,5,2,2,23,8,14,24,17,3,1,6,George Seifert,54,San Francisco 49ers,NFL,16,13,3,0,.813,11.6,9.9,1.7,3,3,0,1.000,1,,,Super Bowl Champions 
698,6,1995,SFO,HC,30,3,5,1,1,2,1,10,18,23,3,25,9,2,1,4,13,5,1,2,9,1,1,1,1,27,27,11,10,1,3,George Seifert,55,San Francisco 49ers,NFL,16,11,5,0,.688,11.8,6.5,5.3,1,0,1,.000,1,,,
699,7,1996,SFO,HC,30,3,6,3,4,6,3,2,17,10,4,11,3,11,7,8,10,8,7,4,10,7,5,1,6,7,23,11,13,12,6,George Seifert,56,San Francisco 49ers,NFL,16,12,4,0,.750,8.0,3.7,4.3,2,1,1,.500,2,,,
700,8,1999,CAR,HC,31,12,19,12,14,6,4,21,29,20,15,5,28,6,2,2,7,5,26,26,19,22,24,21,25,11,18,23,27,20,22,George Seifert,59,Carolina Panthers,NFL,16,8,8,0,.500,-1.1,3.0,-4.0,,,,,2,1,0,
701,9,2000,CAR,HC,31,19,11,18,26,20,21,24,27,29,26,29,25,10,12,17,20,19,27,12,6,14,26,12,28,2,22,26,13,13,26,George Seifert,60,Carolina Panthers,NFL,16,7,9,0,.438,-1.1,-3.6,2.5,,,,,3,4,0,
702,10,2001,CAR,HC,31,31,15,31,31,30,29,23,30,29,23,22,16,4,26,30,24,31,31,28,7,31,31,20,23,14,10,28,24,3,29,George Seifert,61,Carolina Panthers,NFL,16,1,15,0,.063,-8.9,-4.6,-4.4,,,,,5,3,2,
703,0,1994,WAS,HC,28,26,27,25,27,17,13,26,23,24,27,22,15,11,11,4,27,15,26,28,23,28,27,28,6,27,4,20,16,13,27,Norv Turner,42,Washington Redskins,NFL,16,3,13,0,.188,-6.1,0.3,-6.4,,,,,5,,,
704,1,1995,WAS,HC,30,24,6,21,18,18,18,14,13,7,11,8,4,22,20,25,20,18,18,21,7,24,29,29,29,3,13,7,12,17,10,Norv Turner,43,Washington Redskins,NFL,16,6,10,0,.375,-1.9,-0.8,-1.2,,,,,3,,,
705,2,1996,WAS,HC,30,10,4,8,23,9,8,1,13,7,1,10,2,27,15,28,1,2,28,13,16,28,30,29,29,26,25,20,3,11,15,Norv Turner,44,Washington Redskins,NFL,16,9,7,0,.563,1.8,2.3,-0.4,,,,,3,,,
706,3,1997,WAS,HC,30,14,14,11,13,16,15,18,12,21,16,23,2,10,11,9,25,12,16,8,11,26,28,19,26,10,13,3,4,13,6,Norv Turner,45,Washington Redskins,NFL,16,8,7,1,.531,1.3,-0.6,1.8,,,,,2,,,
707,4,1998,WAS,HC,30,20,24,27,19,15,17,15,27,18,10,7,21,4,13,10,8,23,24,28,25,28,28,30,28,21,10,5,11,21,10,Norv Turner,46,Washington Redskins,NFL,16,6,10,0,.375,-7.5,-1.5,-6.0,,,,,4,,,
708,5,1999,WAS,HC,31,7,4,8,11,2,2,7,10,9,1,4,11,16,6,4,4,4,30,24,5,19,27,25,31,13,28,26,21,6,16,Norv Turner,47,Washington Redskins,NFL,16,10,6,0,.625,2.9,6.8,-3.9,2,1,1,.500,1,7,3,
709,6,2000,WAS,HC,31,17,16,16,6,11,24,21,15,19,12,20,14,12,10,19,25,10,4,7,11,15,22,6,21,7,4,2,4,13,5,Norv Turner,48,Washington Redskins,NFL,13,7,6,0,.538,1.0,-2.9,3.8,,,,,3,2,1,Fired after week 14 
710,7,2004,OAK,HC,32,26,29,31,29,17,18,25,32,32,19,20,23,4,8,11,28,13,30,31,30,31,22,30,7,25,15,30,27,29,31,Norv Turner,52,Oakland Raiders,NFL,16,5,11,0,.313,-4.3,-0.6,-3.7,,,,,4,6,2,
711,8,2005,OAK,HC,32,26,18,26,24,21,23,6,31,29,17,22,5,6,10,12,9,19,27,25,29,30,25,25,19,8,9,18,9,32,23,Norv Turner,53,Oakland Raiders,NFL,16,4,12,0,.250,-2.8,-1.2,-1.6,,,,,4,4,1,
712,9,2007,SDG,HC,32,5,1,5,19,20,5,7,7,7,2,8,6,26,26,15,15,16,14,5,1,12,16,12,17,2,23,14,11,1,8,Norv Turner,55,San Diego Chargers,NFL,16,11,5,0,.688,8.8,4.3,4.5,3,2,1,.667,1,7,1,
713,10,2008,SDG,HC,32,17,11,7,21,11,2,7,20,20,19,19,11,25,7,1,5,1,25,15,17,10,11,8,14,18,31,31,27,11,18,Norv Turner,56,San Diego Chargers,NFL,16,8,8,0,.500,5.0,5.0,0.0,2,1,1,.500,1,8,0,
714,11,2009,SDG,HC,32,2,6,5,12,10,4,2,19,31,11,32,3,23,5,5,4,1,16,11,19,12,20,7,24,15,17,11,18,20,13,Norv Turner,57,San Diego Chargers,NFL,16,13,3,0,.813,6.6,6.4,0.2,1,0,1,.000,1,8,3,
715,12,2010,SDG,HC,32,14,23,5,1,1,2,17,9,15,4,22,28,14,2,6,9,1,1,10,23,8,4,20,5,29,3,1,5,14,1,Norv Turner,58,San Diego Chargers,NFL,16,9,7,0,.563,4.8,3.2,1.6,,,,,2,7,2,
716,13,2011,SDG,HC,32,13,25,11,6,6,5,20,18,16,7,14,10,9,6,8,25,5,16,22,23,20,20,3,20,30,3,13,27,13,28,Norv Turner,59,San Diego Chargers,NFL,16,8,8,0,.500,0.9,2.7,-1.8,,,,,2,4,2,
717,14,2012,SDG,HC,32,18,14,16,25,31,20,17,21,27,31,31,21,22,24,11,15,24,9,16,11,8,6,8,5,4,22,18,23,16,15,Norv Turner,60,San Diego Chargers,NFL,16,7,9,0,.438,-2.3,-2.0,-0.4,,,,,2,3,1,
718,0,1992,MIN,HC,28,4,3,4,10,11,4,12,5,7,4,14,20,19,18,12,6,16,8,7,2,14,14,11,12,13,22,7,3,1,2,Dennis Green,43,Minnesota Vikings,NFL,16,11,5,0,.688,7.7,4.4,3.3,1,0,1,.000,1,,,
719,1,1993,MIN,HC,28,9,5,17,8,17,20,5,17,21,21,17,4,12,14,13,9,14,1,12,9,7,6,21,10,23,7,6,1,2,8,Dennis Green,44,Minnesota Vikings,NFL,16,9,7,0,.563,-0.1,-1.3,1.2,1,0,1,.000,2,,,
720,2,1994,MIN,HC,28,6,13,8,2,3,7,21,19,20,17,17,19,2,3,18,23,9,5,13,7,1,1,5,1,4,26,21,23,10,8,Dennis Green,45,Minnesota Vikings,NFL,16,10,6,0,.625,3.2,2.4,0.8,1,0,1,.000,1,,,
721,3,1995,MIN,HC,30,14,2,10,8,4,4,13,17,16,19,11,13,3,5,2,13,13,20,27,2,2,4,8,8,11,29,28,27,2,21,Dennis Green,46,Minnesota Vikings,NFL,16,8,8,0,.500,3.7,5.1,-1.4,,,,,4,,,
722,4,1996,MIN,HC,30,10,11,17,11,12,23,17,20,24,27,20,14,8,8,8,17,10,16,15,8,16,24,22,30,14,17,9,10,7,7,Dennis Green,47,Minnesota Vikings,NFL,16,9,7,0,.563,-0.1,-0.9,0.7,1,0,1,.000,2,,,
723,5,1997,MIN,HC,30,10,10,16,21,8,11,7,15,6,12,3,1,12,14,5,16,13,29,19,17,13,23,17,28,7,19,29,28,25,27,Dennis Green,48,Minnesota Vikings,NFL,16,9,7,0,.563,-0.1,1.7,-1.8,2,1,1,.500,4,,,
724,6,1998,MIN,HC,30,1,2,1,2,2,1,3,15,11,8,5,1,13,1,1,15,1,13,6,6,9,11,14,16,6,25,19,3,10,15,Dennis Green,49,Minnesota Vikings,NFL,16,15,1,0,.938,14.9,13.2,1.6,2,1,1,.500,1,,,
725,7,1999,MIN,HC,31,7,27,9,13,3,5,30,20,14,10,6,28,19,5,3,24,3,27,18,17,10,14,10,17,4,31,30,11,26,23,Dennis Green,50,Minnesota Vikings,NFL,16,10,6,0,.625,4.4,5.2,-0.8,2,1,1,.500,2,5,1,
726,8,2000,MIN,HC,31,5,26,15,15,5,5,13,17,6,12,1,6,23,7,2,19,3,28,24,31,8,15,25,27,22,28,28,17,31,24,Dennis Green,51,Minnesota Vikings,NFL,16,11,5,0,.688,1.9,4.3,-2.3,2,1,1,.500,1,7,5,
727,9,2001,MIN,HC,31,26,31,28,26,12,24,30,28,25,20,10,27,10,7,9,27,13,27,26,31,24,30,31,31,24,5,18,7,31,27,Dennis Green,52,Minnesota Vikings,NFL,15,5,10,0,.333,-4.7,-0.8,-3.9,,,,,4,5,1,
728,10,2004,ARI,HC,32,21,18,21,26,27,26,18,11,22,8,30,14,13,24,29,20,28,12,12,13,18,27,13,32,5,14,9,7,19,7,Dennis Green,55,Arizona Cardinals,NFL,16,6,10,0,.375,-4.9,-5.1,0.2,,,,,3,10,3,
729,11,2005,ARI,HC,32,23,30,23,3,8,17,29,32,32,32,32,28,1,1,12,27,11,8,26,21,7,10,30,16,17,11,12,6,19,20,Dennis Green,56,Arizona Cardinals,NFL,16,5,11,0,.313,-5.0,-2.0,-3.0,,,,,3,7,1,
730,12,2006,ARI,HC,32,27,12,25,25,18,19,20,26,30,18,32,20,7,10,22,17,9,29,29,5,18,16,25,18,4,21,30,16,17,30,Dennis Green,57,Arizona Cardinals,NFL,16,5,11,0,.313,-6.9,-2.6,-4.3,,,,,4,10,3,
731,0,1973,STL,HC,26,20,18,19,25,12,11,8,25,22,12,13,8,5,5,9,10,12,26,23,24,14,17,19,18,13,26,26,25,26,26,Don Coryell,49,St. Louis Cardinals,NFL,14,4,9,1,.321,-3.3,1.8,-5.1,,,,,,,4,
732,1,1974,STL,HC,26,4,4,7,12,10,9,1,16,13,16,5,2,8,7,4,1,12,17,8,22,9,15,12,19,24,23,19,4,19,12,Don Coryell,50,St. Louis Cardinals,NFL,14,10,4,0,.714,5.8,2.8,3.0,1,0,1,.000,,,1,
733,2,1975,STL,HC,26,4,16,9,10,5,7,17,8,6,7,3,19,18,6,6,15,1,18,11,13,11,10,15,11,16,26,24,12,10,16,Don Coryell,51,St. Louis Cardinals,NFL,14,11,3,0,.786,3.5,3.4,0.1,1,0,1,.000,,,1,
734,3,1976,STL,HC,28,7,14,12,6,3,8,20,4,8,8,18,26,7,5,7,5,3,12,16,9,10,12,22,17,9,7,15,9,12,19,Don Coryell,52,St. Louis Cardinals,NFL,14,10,4,0,.714,2.6,3.5,-1.0,,,,,,,3,
735,4,1977,STL,HC,28,14,19,18,15,7,11,17,16,12,4,10,16,12,2,14,13,1,24,23,19,11,22,10,26,20,21,26,27,17,22,Don Coryell,53,St. Louis Cardinals,NFL,14,7,7,0,.500,-1.4,2.6,-4.0,,,,,,,3,
736,5,1978,SDG,HC,28,8,27,7,4,4,6,26,9,20,12,25,21,4,1,2,23,3,8,21,19,4,15,5,24,18,18,7,27,13,3,Don Coryell,54,San Diego Chargers,NFL,12,8,4,0,.667,3.6,4.6,-0.9,,,,,,,4,
737,6,1979,SDG,HC,28,1,5,1,4,5,2,8,25,27,2,26,1,5,1,6,22,3,5,2,3,1,8,17,15,10,19,7,1,3,5,Don Coryell,55,San Diego Chargers,NFL,16,12,4,0,.750,11.8,6.0,5.7,1,0,1,.000,,,1,
738,7,1980,SDG,HC,28,4,25,6,1,1,4,28,17,16,8,24,27,2,1,3,22,2,6,18,13,8,10,20,16,5,20,6,8,18,4,Don Coryell,56,San Diego Chargers,NFL,16,11,5,0,.688,6.0,6.5,-0.4,2,1,1,.500,,,1,
739,8,1981,SDG,HC,28,6,13,5,6,1,1,13,20,16,1,10,24,2,1,1,7,1,27,26,11,9,5,27,7,12,28,28,14,11,27,Don Coryell,57,San Diego Chargers,NFL,16,10,6,0,.625,4.4,9.2,-4.7,2,1,1,.500,,,1,
740,9,1982,SDG,HC,28,5,5,3,1,1,1,10,19,11,1,4,5,2,1,1,13,1,25,24,7,2,9,21,24,5,27,28,8,10,24,Don Coryell,58,San Diego Chargers,NFL,9,6,3,0,.667,5.3,10.6,-5.3,2,1,1,.500,,,2,
741,10,1983,SDG,HC,28,23,27,26,11,1,12,27,25,25,14,24,23,2,1,9,28,3,26,28,22,21,18,27,11,13,24,25,24,24,24,Don Coryell,59,San Diego Chargers,NFL,16,6,10,0,.375,-4.6,1.1,-5.7,,,,,,,4,
742,11,1984,SDG,HC,28,17,15,17,7,4,6,16,22,24,6,24,20,1,2,7,13,5,26,24,12,8,10,26,18,9,21,28,23,16,27,Don Coryell,60,San Diego Chargers,NFL,16,7,9,0,.438,0.8,4.8,-4.0,,,,,,,5,
743,12,1985,SDG,HC,28,12,22,11,10,1,1,27,20,20,4,21,18,1,1,1,27,1,28,25,7,12,13,27,18,15,27,28,25,5,27,Don Coryell,61,San Diego Chargers,NFL,16,8,8,0,.500,1.1,8.3,-7.2,,,,,,,4,
744,13,1986,SDG,HC,28,24,26,23,17,12,15,27,15,24,6,27,13,2,7,13,28,14,23,24,12,13,7,15,3,1,13,25,25,24,24,Don Coryell,62,San Diego Chargers,NFL,8,1,7,0,.125,-1.9,1.2,-3.1,,,,,,,5,
745,0,2008,BAL,HC,32,6,3,1,5,18,11,8,1,4,5,22,11,30,28,22,9,17,2,3,1,1,3,1,5,20,21,2,7,1,3,John Harbaugh,46,Baltimore Ravens,NFL,16,11,5,0,.688,9.8,4.2,5.6,3,2,1,.667,2,10,5,
746,1,2009,BAL,HC,32,11,4,6,8,13,9,5,7,5,1,4,7,25,18,16,7,13,3,3,7,17,5,6,1,17,14,8,7,5,14,John Harbaugh,47,Baltimore Ravens,NFL,16,9,7,0,.563,7.5,2.6,4.9,2,1,1,.500,2,13,7,
747,2,2010,BAL,HC,32,3,9,6,15,22,16,7,6,14,18,28,13,24,20,15,6,13,10,3,15,3,5,1,8,24,30,21,9,8,7,John Harbaugh,48,Baltimore Ravens,NFL,16,12,4,0,.750,6.4,0.9,5.5,2,1,1,.500,2,9,1,
748,3,2011,BAL,HC,32,5,11,5,5,15,12,16,8,10,10,12,24,18,19,13,5,19,3,3,13,13,2,6,2,7,15,4,1,17,3,John Harbaugh,49,Baltimore Ravens,NFL,16,12,4,0,.750,6.1,2.6,3.5,2,1,1,.500,1,12,7,
749,4,2012,BAL,HC,32,9,8,11,15,16,10,2,12,11,6,12,3,15,15,18,6,15,17,12,14,29,20,23,8,8,16,17,2,19,16,John Harbaugh,50,Baltimore Ravens,NFL,16,10,6,0,.625,2.9,1.9,1.0,4,4,0,1.000,1,7,3,Super Bowl Champions 
750,5,2013,BAL,HC,32,14,22,20,23,29,25,22,18,30,28,32,2,8,18,25,31,30,12,12,19,16,11,5,5,23,15,12,14,15,16,John Harbaugh,51,Baltimore Ravens,NFL,16,8,8,0,.500,-3.5,-5.0,1.4,,,,,3,12,7,
751,6,2014,BAL,HC,32,11,14,6,8,12,8,6,11,8,5,7,9,17,13,12,8,12,8,6,22,5,4,5,3,10,29,23,6,25,12,John Harbaugh,52,Baltimore Ravens,NFL,16,10,6,0,.625,4.6,1.8,2.8,2,1,1,.500,3,9,2,
752,7,2015,BAL,HC,32,26,30,24,11,14,25,22,25,26,21,24,2,1,8,23,29,22,8,24,30,17,12,10,10,22,10,10,22,32,16,John Harbaugh,53,Baltimore Ravens,NFL,16,5,11,0,.313,-1.9,-0.7,-1.2,,,,,3,8,3,
753,8,2016,BAL,HC,32,17,9,13,8,17,21,17,30,28,22,21,7,1,12,21,22,26,7,9,4,8,5,5,5,9,17,9,24,1,10,John Harbaugh,54,Baltimore Ravens,NFL,16,8,8,0,.500,1.5,-1.1,2.6,,,,,2,5,2,
754,9,2017,BAL,HC,32,11,1,8,21,27,9,7,7,11,10,19,2,11,29,23,16,32,12,6,1,19,15,16,16,4,26,10,5,1,4,John Harbaugh,55,Baltimore Ravens,NFL,16,9,7,0,.563,3.4,2.2,1.2,,,,,2,7,5,
