,index,Year,TmCode,Role,Tms,Overall_WL%_Rank,Overall_T/G_Rank,Overall_PtsDiff_Rank,Overall_YdsDiff_Rank,Offense_Yds_Rank,Offense_Pts_Rank,Offense_GvA_Rank,Rushing Off_Att_Rank,Rushing Off_Yds_Rank,Rushing Off_TD_Rank,Rushing Off_Y/A_Rank,Rushing Off_FL_Rank,Passing Off_Att_Rank,Passing Off_Yds_Rank,Passing Off_TD_Rank,Passing Off_Int_Rank,Passing Off_NY/A_Rank,Defense_Yds_Rank,Defense_Pts_Rank,Defense_TkA_Rank,Rushing Def_Att_Rank,Rushing Def_Yds_Rank,Rushing Def_TD_Rank,Rushing Def_Y/A_Rank,Rushing Def_FR_Rank,Passing Def_Att_Rank,Passing Def_Yds_Rank,Passing Def_TD_Rank,Passing Def_Int_Rank,Passing Def_netY/A_Rank,Name,Age,Tm,Lg,G,W,L,T,W-L%_1,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L%_2,Num,Won,Rank,Notes
19,19,1982,MIA,HC,28,3,7,3,8,19,10,14,1,3,8,8,14,27,27,23,15,19,1,2,3,18,24,9,28,18,1,1,2,1,1,Don Shula+,52,Miami Dolphins,NFL,9,7,2,0,.778,8.2,2.6,5.6,4,3,1,.750,,,1,AFC Champions 
20,20,1983,MIA,HC,28,2,2,2,14,16,7,2,6,13,14,23,10,24,19,8,2,5,7,1,10,7,13,5,25,13,7,8,6,7,8,Don Shula+,53,Miami Dolphins,NFL,16,12,4,0,.750,7.7,2.6,5.2,1,0,1,.000,,,1,
21,21,1984,MIA,HC,28,2,5,2,2,1,1,3,17,16,6,16,3,6,1,1,10,1,19,7,12,9,22,18,28,20,23,14,14,9,7,Don Shula+,54,Miami Dolphins,NFL,16,14,2,0,.875,10.6,9.1,1.5,3,2,1,.667,,,1,AFC Champions 
22,22,1985,MIA,HC,28,2,13,5,14,6,4,19,19,18,9,18,20,4,2,2,11,2,23,12,9,19,23,12,24,10,8,22,15,9,26,Don Shula+,55,Miami Dolphins,NFL,16,12,4,0,.750,7.0,6.1,0.9,2,1,1,.500,,,1,
23,23,1986,MIA,HC,28,14,22,12,9,2,1,15,28,25,23,4,11,1,1,1,19,2,26,26,26,25,27,26,27,17,8,22,21,25,25,Don Shula+,56,Miami Dolphins,NFL,16,8,8,0,.500,0.5,6.2,-5.7,,,,,,,3,
24,24,1987,MIA,HC,28,10,18,9,11,4,7,18,24,23,7,10,14,1,1,3,17,5,26,16,18,21,25,24,25,13,18,21,12,19,23,Don Shula+,57,Miami Dolphins,NFL,15,8,7,0,.533,2.1,3.2,-1.1,,,,,,,3,
25,25,1988,MIA,HC,28,20,20,20,14,5,17,19,28,28,19,23,4,1,1,3,23,2,26,24,21,27,26,27,27,12,10,14,12,19,23,Don Shula+,58,Miami Dolphins,NFL,16,6,10,0,.375,-2.8,1.0,-3.9,,,,,,,5,
26,26,1989,MIA,HC,28,15,27,19,17,7,15,21,24,27,23,28,17,2,3,6,23,5,24,22,26,19,25,24,27,28,14,18,14,24,18,Don Shula+,59,Miami Dolphins,NFL,16,8,8,0,.500,-4.8,-0.6,-4.2,,,,,,,3,
27,27,1990,MIA,HC,28,4,10,7,8,11,14,7,19,22,14,26,17,6,4,12,6,9,7,4,22,18,16,10,12,28,9,5,4,9,5,Don Shula+,60,Miami Dolphins,NFL,16,12,4,0,.750,4.7,0.5,4.2,2,1,1,.500,,,2,
28,28,1991,MIA,HC,28,14,23,18,16,7,6,9,25,25,22,21,11,2,3,5,8,5,25,24,26,25,27,21,28,25,10,12,15,22,13,Don Shula+,61,Miami Dolphins,NFL,16,8,8,0,.500,-4.1,0.7,-4.8,,,,,,,3,
